handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
Produit_1,Product,JUS TOMATE SELECTION,24X540 ML,,Produits Secs,0020164,,41.21,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_2,Product,JUS TOMATE SELECTION,12X1.36 L,,Produits Secs,0020271,,43.79,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_3,Product,JUS TOMATE HEINZ O.E.,8X6X156 ML,,Produits Secs,0023804,,73.97,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_4,Product,JUS TOMATE HEINZ FANTAISIE,24X540 ML,,Produits Secs,0025007,,59.07,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_5,Product,JUS TOMATE HEINZ FANTAISIE,12X1.36 L,,Produits Secs,0025809,,67.92,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_6,Product,JUS TOMATE HEINZ FANTAISIE,6X2.84 L,,Produits Secs,0029207,,63.22,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_7,Product,SELECTION COCKTAIL LEGUME,6X1.89 L,,Produits Secs,0030585,,24.59,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_8,Product,MOTT'S CLAMATO TOMATE/PALOURDE,4X6X162 ML,,Produits Secs,0031054,,21.55,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_9,Product,MOTT'S CLAMATO TOMATE/PALOURDE,12X295 ML,,Produits Secs;Taxes,0031401,,13.89,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_10,Product,MOTT'S CLAMATO TOMATE/PALOURDE,12X945 ML,,Produits Secs,0031419,,41.8,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_11,Product,MOTT'S CLAMATO CK.TOM/PAL.EPIC,12X945 ML,,Produits Secs,0031450,,41.8,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_12,Product,MOTT'S CLAMATO TOMATE/PALOURDE,8X1.89 L,,Produits Secs,0031534,,46.41,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_13,Product,MOTT'S CLAMATO TOMATE/PALOURDE,8X2.54 L,,Produits Secs,0031542,,57.1,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_14,Product,MOTT'S CLAMATO CK.TOM/PAL.EPIC,8X1.89 L,,Produits Secs,0031559,,46.41,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_15,Product,MOTT'S CLAMATO CK.TO/PAL.GARNI,8X1.89 L,,Produits Secs,0031567,,46.41,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_16,Product,GARDEN COCKTAIL MOTT'S ORIGINA,4X6X162 ML,,Produits Secs,0031781,,13.62,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_17,Product,GARDEN COCKTAIL MOTT'S ORIGINA,4X6X240 ML,,Produits Secs,0031955,,23.46,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_18,Product,GARDEN COCKTAIL MOTT'S ORIGINA,12X945 ML,,Produits Secs,0032540,,34.93,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_19,Product,GARD.COCK.MOTT'S FAIBLE SODIUM,12X945 ML,,Produits Secs,0032581,,34.93,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_20,Product,GARDEN COCKTAIL MOTT'S ORIGINA,8X1.89 L,,Produits Secs,0032698,,40.67,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_21,Product,OASIS COCKTAIL 10 LEGUMES,3X6X300 ML,,Produits Secs,0032763,,18.08,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_22,Product,OASIS COCKTAIL 10 LEGUMES,12X960 ML,,Produits Secs,0032805,,34.13,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_23,Product,GARDEN COCKTAIL MOTT'S C.F.SOD,8X1.89 L,,Produits Secs,0032847,,40.67,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_24,Product,V-8 COCKTAIL ORIGINAL,8X6X156 ML,,Produits Secs,0032995,,35.17,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_25,Product,V-8 COCKT.FAIBLE TENEUR SODIUM,8X6X156 ML,,Produits Secs,0033043,,35.17,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_26,Product,V-8 V-GO COCKTAIL ASSAISONNE,8X6X156 ML,,Produits Secs,0033092,,35.17,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_27,Product,V-8 COCKTAIL ORIGINAL,24X340 ML,,Produits Secs;Taxes,0033316,,37.87,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_28,Product,MOTT'S CLAMAT.CK.TOM/PAL.HARIC,8X1.89 L,,Produits Secs,0033662,,46.41,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_29,Product,V-8 COCKTAIL ORIGINAL,12X950 ML,,Produits Secs,0034165,,43.39,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_30,Product,V-8 COCKTAIL ORIGINAL,8X1.89 L,,Produits Secs,0035121,,45.06,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_31,Product,V-8 COCKT.FAIBLE TENEUR SODIUM,8X1.89 L,,Produits Secs,0035212,,45.06,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_32,Product,MOTT'S CLAMATO TOM/PALOUR.LIME,8X1.89 L,,Produits Secs,0035774,,46.41,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_33,Product,V-8 V-GO COCKTAIL ASSAISONNE,8X1.89 L,,Produits Secs,0037606,,45.06,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_34,Product,BOIS.POUDRE KOOL-AID SU.CERISE,12X517 G,,Produits Secs;Taxes,0051730,,66.84,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_35,Product,BOIS.POUDRE KOOL-AID SU.ORANGE,12X517 G,,Produits Secs;Taxes,0051797,,66.84,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_36,Product,CRYST.NESTEA THE GLACE CITRON,6X715 G,,Produits Secs,0052506,,50.29,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_37,Product,CRISTAUX TANG ORANGE,20X3X92 G,,Produits Secs;Taxes,0054429,,53.79,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produit_38,Product,CRISTAUX TANG RAISIN,20X3X92 G,,Produits Secs;Taxes,0054445,,53.79,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
